"Carritos",,,"Panal",,,"1_cp",,,"2_ca",,,"3_pa",,,"hexagonal",,,"Panal",,,"lluvia",,
"Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento"
"seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm"
,,,"11.87","843.8587","1.968719","11.87","317.955","1.968729","11.87","309.0858","1.968698","11.87","705.0514","1.968708","11.87","1275.158","1.968729","11.87","1507.378","1.96874","11.87","251.1501","1.968698"
,,,"11.88","845.5753","1.970365","11.88","317.7166","1.970406","11.88","308.3706","1.970365","11.88","703.2871","1.970365","11.88","1274.681","1.970396","11.88","1507.33","1.970375","11.88","249.0997","1.970385"
,,,"11.89","845.5276","1.972021","11.89","317.6689","1.972073","11.89","308.7521","1.972052","11.89","705.0037","1.972042","11.89","1276.016","1.972042","11.89","1511.955","1.972031","11.89","247.7646","1.972062"
,,,"11.9","847.6734","1.973688","11.9","317.1444","1.973719","11.9","312.4237","1.973729","11.9","707.4833","1.97374","11.9","1277.733","1.973688","11.9","1512.861","1.973698","11.9","247.7646","1.973719"
,,,"11.91","846.8151","1.975385","11.91","316.7152","1.975365","11.91","313.0913","1.975396","11.91","708.6754","1.975417","11.91","1278.4","1.975354","11.91","1514.244","1.975396","11.91","248.4798","1.975365"
,,,"11.92","847.0535","1.977073","11.92","316.3338","1.977021","11.92","313.5204","1.977052","11.92","707.5787","1.977083","11.92","1281.118","1.977052","11.92","1518.106","1.977073","11.92","247.1447","1.977021"
,,,"11.93","847.8165","1.97874","11.93","317.4782","1.978708","11.93","313.9496","1.978698","11.93","708.6754","1.978729","11.93","1282.692","1.97874","11.93","1519.537","1.978729","11.93","248.3368","1.978698"
,,,"11.94","848.0549","1.980396","11.94","319.0518","1.980385","11.94","311.5177","1.980365","11.94","709.2953","1.980375","11.94","1280.928","1.980417","11.94","1520.92","1.980375","11.94","251.0071","1.980396"
,,,"11.95","848.0072","1.982031","11.95","319.4332","1.982062","11.95","311.8992","1.982042","11.95","711.3934","1.982031","11.95","1283.407","1.982062","11.95","1521.73","1.982031","11.95","251.3885","1.982083"
,,,"11.96","847.9595","1.983688","11.96","319.4332","1.983708","11.96","314.5218","1.98374","11.96","710.2966","1.983708","11.96","1286.268","1.983698","11.96","1522.922","1.983698","11.96","253.0575","1.98374"
,,,"11.97","849.2947","1.985365","11.97","319.7193","1.985354","11.97","313.0436","1.985417","11.97","710.1536","1.985396","11.97","1286.984","1.985365","11.97","1524.782","1.985396","11.97","252.5806","1.985385"
,,,"11.98","848.2456","1.987052","11.98","319.8624","1.987021","11.98","314.188","1.987073","11.98","710.7734","1.987062","11.98","1288.176","1.987042","11.98","1525.831","1.987083","11.98","252.7237","1.987031"
,,,"11.99","850.0576","1.988719","11.99","319.767","1.988708","11.99","315.6662","1.988719","11.99","710.8212","1.988719","11.99","1289.32","1.988729","11.99","1529.598","1.98875","11.99","252.9621","1.988698"
,,,"12","853.5862","1.990385","12","319.0994","1.990396","12","316.3338","1.990365","12","711.4887","1.990354","12","1289.082","1.990406","12","1529.407","1.990385","12","251.2455","1.990385"
,,,"12.01","853.0616","1.992021","12.01","320.1008","1.992073","12.01","317.0013","1.992042","12.01","711.5364","1.992021","12.01","1291.275","1.992062","12.01","1533.127","1.992031","12.01","250.8163","1.992062"
,,,"12.02","852.5848","1.993677","12.02","319.3378","1.993729","12.02","317.1921","1.993729","12.02","712.7762","1.993708","12.02","1292.992","1.993698","12.02","1534.986","1.993698","12.02","253.582","1.99374"
,,,"12.03","855.2075","1.995354","12.03","319.1471","1.995375","12.03","316.3815","1.995396","12.03","713.5391","1.995406","12.03","1292.181","1.995365","12.03","1535.749","1.995375","12.03","253.8204","1.995375"
,,,"12.04","855.9704","1.997052","12.04","320.0531","1.997021","12.04","315.6185","1.997052","12.04","714.4928","1.997083","12.04","1293.755","1.997052","12.04","1536.274","1.997062","12.04","252.7714","1.997021"
,,,"12.05","854.5875","1.99874","12.05","318.5749","1.998698","12.05","315.8093","1.998698","12.05","715.9233","1.99874","12.05","1295.423","1.99874","12.05","1540.518","1.998729","12.05","252.9144","1.998688"
,,,"12.06","853.4908","2.000406","12.06","319.4809","2.000385","12.06","318.1458","2.000354","12.06","714.7312","2.000375","12.06","1296.425","2.000417","12.06","1541.71","2.000375","12.06","254.9648","2.000375"
,,,"12.07","855.5413","2.002042","12.07","319.9577","2.002063","12.07","318.7656","2.002031","12.07","715.5419","2.002031","12.07","1298.38","2.002083","12.07","1540.089","2.002021","12.07","256.5861","2.002073"
,,,"12.08","855.0644","2.003687","12.08","317.7643","2.003719","12.08","317.3828","2.003719","12.08","714.9219","2.003708","12.08","1301.575","2.003719","12.08","1543.474","2.003687","12.08","257.349","2.00375"
,,,"12.09","855.3505","2.005354","12.09","321.8174","2.005365","12.09","316.906","2.005406","12.09","714.4451","2.005396","12.09","1302.576","2.005365","12.09","1546.24","2.005375","12.09","253.582","2.005396"
,,,"12.1","857.5439","2.007042","12.1","321.9604","2.00701","12.1","319.1948","2.007073","12.1","716.6863","2.007073","12.1","1302.29","2.007042","12.1","1549.053","2.007073","12.1","253.0098","2.007042"
,,,"12.11","858.2115","2.008719","12.11","320.1962","2.008687","12.11","318.7656","2.008719","12.11","717.9737","2.008729","12.11","1301.908","2.008719","12.11","1550.627","2.008739","12.11","253.2482","2.008698"
,,,"12.12","857.9254","2.010386","12.12","320.9591","2.010386","12.12","319.624","2.010365","12.12","717.7353","2.010375","12.12","1302.958","2.010396","12.12","1550.579","2.010406","12.12","255.3463","2.010375"
,,,"12.13","858.3069","2.012031","12.13","321.6266","2.012073","12.13","319.1471","2.012021","12.13","718.0214","2.012021","12.13","1303.625","2.012063","12.13","1552.534","2.012042","12.13","256.8722","2.012063"
,,,"12.14","857.7823","2.013677","12.14","321.4359","2.01374","12.14","319.1471","2.013708","12.14","715.2557","2.013698","12.14","1305.056","2.013708","12.14","1554.68","2.013698","12.14","254.1542","2.01374"
,,,"12.15","859.9758","2.015344","12.15","318.0504","2.015375","12.15","320.1485","2.015385","12.15","716.877","2.015396","12.15","1306.152","2.015354","12.15","1552.63","2.015375","12.15","255.9662","2.015396"
,,,"12.16","861.6448","2.017042","12.16","320.2438","2.017021","12.16","320.4346","2.017052","12.16","721.5977","2.017073","12.16","1308.346","2.017031","12.16","1555.252","2.017062","12.16","258.8749","2.017031"
,,,"12.17","861.0248","2.018729","12.17","320.0054","2.018687","12.17","321.7697","2.018708","12.17","721.0255","2.01875","12.17","1309.776","2.018719","12.17","1558.781","2.018739","12.17","258.0643","2.018698"
,,,"12.18","862.1216","2.020406","12.18","320.8637","2.020375","12.18","322.3896","2.020354","12.18","722.8851","2.020396","12.18","1310.873","2.020417","12.18","1562.548","2.020396","12.18","254.2496","2.020375"
,,,"12.19","863.3613","2.022063","12.19","322.4373","2.022052","12.19","320.4346","2.022021","12.19","721.5977","2.022031","12.19","1312.447","2.022083","12.19","1563.406","2.022042","12.19","255.8231","2.022063"
,,,"12.2","862.9322","2.023698","12.2","322.1035","2.023729","12.2","321.8651","2.023708","12.2","720.8824","2.023698","12.2","1313.591","2.023729","12.2","1563.072","2.023687","12.2","259.5425","2.02375"
,,,"12.21","866.4608","2.025354","12.21","322.8188","2.025375","12.21","320.3392","2.025406","12.21","723.5527","2.025385","12.21","1315.212","2.025375","12.21","1567.268","2.025365","12.21","259.5901","2.025406"
,,,"12.22","866.127","2.027031","12.22","321.4836","2.027021","12.22","323.2002","2.027073","12.22","725.0309","2.027062","12.22","1316.5","2.027031","12.22","1568.031","2.027062","12.22","258.6365","2.027052"
,,,"12.23","865.4117","2.028719","12.23","320.7207","2.028687","12.23","323.6294","2.028729","12.23","725.6031","2.028729","12.23","1317.406","2.028708","12.23","1570.702","2.028739","12.23","259.7332","2.028698"
,,,"12.24","865.2687","2.030385","12.24","322.9618","2.030375","12.24","325.2506","2.030375","12.24","724.6971","2.030385","12.24","1318.741","2.030396","12.24","1572.275","2.030406","12.24","260.067","2.030365"
,,,"12.25","864.4581","2.032052","12.25","322.0558","2.032073","12.25","325.8228","2.032021","12.25","726.4137","2.032031","12.25","1318.502","2.032063","12.25","1571.751","2.032052","12.25","260.6392","2.032052"
,,,"12.26","866.6516","2.033698","12.26","321.722","2.03374","12.26","324.3446","2.033698","12.26","726.9382","2.033698","12.26","1319.647","2.033719","12.26","1572.8","2.033698","12.26","260.7346","2.033729"
,,,"12.27","869.1788","2.035344","12.27","323.8201","2.035396","12.27","324.9168","2.035385","12.27","726.08","2.035385","12.27","1321.459","2.035365","12.27","1573.61","2.035365","12.27","261.6406","2.035396"
,,,"12.28","868.6066","2.037031","12.28","322.3896","2.037042","12.28","327.8732","2.037062","12.28","727.3674","2.037083","12.28","1322.794","2.037031","12.28","1576.996","2.037052","12.28","261.2114","2.037042"
,,,"12.29","865.2687","2.038729","12.29","321.6266","2.038687","12.29","325.9182","2.038729","12.29","727.272","2.03876","12.29","1324.368","2.038708","12.29","1579.571","2.038729","12.29","261.4498","2.038687"
,,,"12.3","868.3682","2.040406","12.3","324.0109","2.040365","12.3","326.6335","2.040365","12.3","725.2216","2.040406","12.3","1325.893","2.040396","12.3","1582.575","2.040406","12.3","262.3081","2.040354"
,,,"12.31","867.8436","2.042073","12.31","324.7738","2.042052","12.31","327.3964","2.042021","12.31","728.4164","2.042042","12.31","1325.464","2.042083","12.31","1581.383","2.042052","12.31","262.4512","2.042042"
,,,"12.32","867.939","2.043708","12.32","324.3446","2.043719","12.32","326.1089","2.043698","12.32","726.9382","2.043698","12.32","1328.135","2.04375","12.32","1582.623","2.043698","12.32","262.2604","2.04374"
,,,"12.33","868.2728","2.045354","12.33","325.2506","2.045385","12.33","325.8705","2.045385","12.33","727.6058","2.045365","12.33","1330.042","2.045385","12.33","1585.198","2.045365","12.33","262.6419","2.045417"
,,,"12.34","869.4648","2.04701","12.34","326.5381","2.047031","12.34","327.8256","2.047073","12.34","730.2284","2.047052","12.34","1329.613","2.047031","12.34","1588.678","2.047052","12.34","263.5956","2.047062"
,,,"12.35","872.7074","2.048698","12.35","325.6321","2.048677","12.35","331.1634","2.04875","12.35","728.6072","2.048729","12.35","1329.708","2.048708","12.35","1588.774","2.04875","12.35","264.9307","2.048708"
,,,"12.36","875.5207","2.050385","12.36","324.0109","2.050354","12.36","327.2057","2.050396","12.36","729.3701","2.050396","12.36","1332.045","2.050396","12.36","1591.396","2.050417","12.36","264.74","2.050364"
,,,"12.37","874.6624","2.052052","12.37","325.1076","2.052052","12.37","324.7261","2.052031","12.37","732.1835","2.052042","12.37","1334.906","2.052073","12.37","1592.922","2.052073","12.37","264.2155","2.052042"
,,,"12.38","873.0889","2.053698","12.38","323.2956","2.05374","12.38","327.2057","2.053698","12.38","733.2325","2.053688","12.38","1335.764","2.053729","12.38","1594.687","2.053708","12.38","264.5493","2.053729"
,,,"12.39","873.661","2.055344","12.39","321.0544","2.055406","12.39","328.8269","2.055385","12.39","734.0431","2.055365","12.39","1337.147","2.055375","12.39","1594.496","2.055365","12.39","264.6923","2.055396"
,,,"12.4","876.2836","2.05701","12.4","322.1512","2.057052","12.4","329.5422","2.057062","12.4","733.2325","2.057062","12.4","1338.053","2.057031","12.4","1596.308","2.057042","12.4","262.4988","2.057052"
,,,"12.41","875.7592","2.058698","12.41","321.1498","2.058687","12.41","329.9713","2.058729","12.41","733.5663","2.05874","12.41","1338.339","2.058698","12.41","1599.264","2.058719","12.41","264.1201","2.058698"
,,,"12.42","874.0902","2.060396","12.42","320.673","2.060354","12.42","330.3528","2.060385","12.42","733.9001","2.060406","12.42","1339.579","2.060396","12.42","1600.122","2.060396","12.42","266.3612","2.060354"
,,,"12.43","874.0425","2.062063","12.43","319.767","2.062042","12.43","331.7833","2.062031","12.43","736.7611","2.062052","12.43","1339.149","2.062083","12.43","1600.552","2.062063","12.43","267.5533","2.062031"
,,,"12.44","873.8518","2.063719","12.44","319.2902","2.063719","12.44","334.1675","2.063688","12.44","736.0935","2.063698","12.44","1339.769","2.06375","12.44","1601.744","2.063698","12.44","265.0738","2.063729"
,,,"12.45","875.9976","2.065354","12.45","319.7193","2.065396","12.45","331.3541","2.065385","12.45","735.8551","2.065365","12.45","1342.297","2.065396","12.45","1607.37","2.065354","12.45","264.7877","2.065417"
,,,"12.46","877.6665","2.06701","12.46","316.7152","2.067042","12.46","330.925","2.067073","12.46","738.9545","2.067052","12.46","1343.06","2.067031","12.46","1608.944","2.067031","12.46","265.1691","2.067073"
,,,"12.47","877.9049","2.068687","12.47","315.9046","2.068687","12.47","333.5953","2.06875","12.47","737.7625","2.06874","12.47","1344.585","2.068698","12.47","1608.992","2.068729","12.47","267.8394","2.068719"
,,,"12.48","880.8613","2.070375","12.48","317.049","2.070354","12.48","334.3582","2.070406","12.48","738.287","2.070396","12.48","1347.685","2.070375","12.48","1609.755","2.070406","12.48","267.7441","2.070364"
,,,"12.49","881.3858","2.072052","12.49","316.6675","2.072031","12.49","334.0721","2.072042","12.49","737.6671","2.072052","12.49","1351.786","2.072062","12.49","1610.947","2.072083","12.49","267.1242","2.072031"
,,,"12.5","880.1937","2.073708","12.5","314.4264","2.073729","12.5","332.4032","2.073688","12.5","739.193","2.073698","12.5","1349.926","2.073729","12.5","1614.285","2.073719","12.5","266.5997","2.073719"
,,,"12.51","881.3858","2.075354","12.51","317.812","2.075406","12.51","333.2615","2.075365","12.51","739.8605","2.075365","12.51","1350.641","2.075385","12.51","1615.429","2.075365","12.51","267.4103","2.075396"
,,,"12.52","879.9553","2.07701","12.52","316.906","2.077062","12.52","334.692","2.077042","12.52","739.5267","2.077042","12.52","1353.359","2.077021","12.52","1618.433","2.077031","12.52","268.6024","2.077062"
,,,"12.53","881.4812","2.078687","12.53","317.4305","2.078708","12.53","335.0735","2.078719","12.53","741.148","2.07874","12.53","1353.264","2.078687","12.53","1617.956","2.078719","12.53","271.0819","2.078708"
,,,"12.54","881.958","2.080385","12.54","318.3365","2.080354","12.54","335.5026","2.080385","12.54","742.2448","2.080417","12.54","1353.168","2.080375","12.54","1620.34","2.080406","12.54","270.1759","2.080354"
,,,"12.55","882.9117","2.082062","12.55","316.6675","2.082031","12.55","336.1702","2.082031","12.55","740.9095","2.082073","12.55","1353.645","2.082062","12.55","1622.486","2.082073","12.55","267.5533","2.082031"
,,,"12.56","885.0574","2.083729","12.56","318.4796","2.083719","12.56","336.1702","2.083677","12.56","742.3878","2.083708","12.56","1356.316","2.08374","12.56","1624.25","2.083719","12.56","268.7454","2.083719"
,,,"12.57","888.2046","2.085375","12.57","319.7193","2.085396","12.57","334.2628","2.085365","12.57","743.8183","2.085365","12.57","1356.649","2.085396","12.57","1626.635","2.085365","12.57","270.7004","2.085417"
,,,"12.58","889.6827","2.087021","12.58","320.9114","2.087052","12.58","334.1675","2.087052","12.58","744.3905","2.087031","12.58","1356.649","2.087042","12.58","1628.494","2.087031","12.58","269.413","2.087083"
,,,"12.59","887.2032","2.088687","12.59","318.6226","2.088698","12.59","335.9795","2.08874","12.59","746.5839","2.088719","12.59","1358.891","2.088698","12.59","1631.308","2.088708","12.59","271.0819","2.08874"
,,,"12.6","883.3885","2.090375","12.6","319.0041","2.090354","12.6","337.6961","2.090406","12.6","747.4899","2.090396","12.6","1360.655","2.090364","12.6","1633.358","2.090406","12.6","271.2726","2.090375"
,,,"12.61","882.7209","2.092052","12.61","320.3392","2.092031","12.61","338.459","2.092052","12.61","745.9641","2.092062","12.61","1360.941","2.092052","12.61","1635.17","2.092083","12.61","271.6064","2.092021"
,,,"12.62","885.9634","2.093719","12.62","319.7193","2.093729","12.62","336.0748","2.093698","12.62","747.2039","2.093708","12.62","1360.559","2.093729","12.62","1633.787","2.09374","12.62","271.368","2.093708"
,,,"12.63","887.3463","2.095365","12.63","317.6212","2.095406","12.63","337.7438","2.095365","12.63","747.9668","2.095354","12.63","1363.707","2.095396","12.63","1634.169","2.095375","12.63","272.2263","2.095396"
,,,"12.64","886.5356","2.09701","12.64","320.9591","2.097073","12.64","336.3132","2.097052","12.64","747.3469","2.097031","12.64","1363.802","2.097042","12.64","1635.504","2.097031","12.64","273.5138","2.097063"
,,,"12.65","888.8721","2.098687","12.65","321.3406","2.098719","12.65","337.9345","2.098729","12.65","745.7733","2.098729","12.65","1365.519","2.098687","12.65","1636.982","2.098698","12.65","274.8966","2.098719"
,,,"12.66","890.0165","2.100375","12.66","320.0531","2.100354","12.66","336.1225","2.100396","12.66","746.8224","2.100406","12.66","1365.757","2.100364","12.66","1640.606","2.100385","12.66","271.3203","2.100364"
,,,"12.67","889.0629","2.102062","12.67","322.8188","2.102021","12.67","334.692","2.102042","12.67","747.4423","2.102083","12.67","1368.284","2.102052","12.67","1642.466","2.102062","12.67","275.1827","2.102021"
,,,"12.68","888.5861","2.10374","12.68","323.8201","2.103708","12.68","337.0762","2.103688","12.68","749.9218","2.103719","12.68","1370.573","2.10374","12.68","1644.945","2.103719","12.68","276.5656","2.103698"
,,,"12.69","890.6841","2.105385","12.69","321.8651","2.105385","12.69","338.1729","2.105354","12.69","749.4449","2.105365","12.69","1370.716","2.105417","12.69","1645.899","2.105375","12.69","275.898","2.105396"
,,,"12.7","892.067","2.107031","12.7","321.8651","2.107052","12.7","339.4604","2.107042","12.7","747.776","2.107031","12.7","1371.336","2.107063","12.7","1648.569","2.107021","12.7","273.8476","2.107083"
,,,"12.71","892.6392","2.108677","12.71","320.7207","2.108698","12.71","339.6511","2.108729","12.71","748.9681","2.108708","12.71","1375.103","2.108708","12.71","1650.429","2.108698","12.71","273.1323","2.10874"
,,,"12.72","893.1637","2.110354","12.72","321.4359","2.110344","12.72","339.1743","2.110406","12.72","750.3986","2.110396","12.72","1375.675","2.110365","12.72","1651.049","2.110396","12.72","272.9416","2.110385"
,,,"12.73","894.5942","2.112042","12.73","320.7684","2.11201","12.73","339.8895","2.112073","12.73","751.9722","2.112062","12.73","1376.2","2.112052","12.73","1654.673","2.112083","12.73","274.6105","2.112031"
,,,"12.74","894.7372","2.113719","12.74","323.2479","2.113698","12.74","340.6048","2.113708","12.74","752.7351","2.113708","12.74","1377.535","2.113729","12.74","1654.482","2.11375","12.74","273.8476","2.113698"
,,,"12.75","894.165","2.115375","12.75","323.3433","2.115396","12.75","341.4631","2.115354","12.75","753.1166","2.115354","12.75","1377.392","2.115396","12.75","1655.34","2.115385","12.75","272.6555","2.115385"
,,,"12.76","896.3108","2.117021","12.76","323.1525","2.117063","12.76","342.7029","2.117031","12.76","754.9286","2.117021","12.76","1377.726","2.117052","12.76","1657.295","2.117031","12.76","275.5642","2.117063"
,,,"12.77","898.2659","2.118677","12.77","327.0149","2.118719","12.77","339.7465","2.118719","12.77","754.9286","2.118708","12.77","1379.156","2.118698","12.77","1658.392","2.118687","12.77","276.041","2.118729"
,,,"12.78","896.1201","2.120354","12.78","327.0149","2.120354","12.78","339.3173","2.120396","12.78","755.4531","2.120406","12.78","1380.777","2.120365","12.78","1660.967","2.120375","12.78","276.6609","2.120375"
,,,"12.79","895.834","2.122052","12.79","325.4413","2.12201","12.79","341.6061","2.122052","12.79","755.6915","2.122083","12.79","1380.682","2.122042","12.79","1663.017","2.122062","12.79","275.8503","2.122021"
,,,"12.8","894.4988","2.123719","12.8","324.5831","2.123688","12.8","343.5612","2.123698","12.8","756.7883","2.123729","12.8","1383.305","2.123739","12.8","1663.446","2.123729","12.8","277.2331","2.123688"
,,,"12.81","897.2168","2.125396","12.81","324.1062","2.125375","12.81","342.6552","2.125354","12.81","756.3591","2.125375","12.81","1385.641","2.125417","12.81","1666.927","2.125375","12.81","278.0438","2.125375"
,,,"12.82","897.4075","2.127031","12.82","325.9659","2.127052","12.82","340.7001","2.127031","12.82","755.2147","2.127031","12.82","1385.212","2.127073","12.82","1668.072","2.127021","12.82","278.1868","2.127073"
,,,"12.83","897.6459","2.128677","12.83","324.9168","2.128708","12.83","342.6552","2.128719","12.83","757.7419","2.128708","12.83","1386.786","2.128708","12.83","1669.598","2.128687","12.83","277.2808","2.12874"
,,,"12.84","899.2672","2.130344","12.84","326.2043","2.130354","12.84","343.5135","2.130406","12.84","757.4558","2.130396","12.84","1390.171","2.130365","12.84","1668.882","2.130375","12.84","280.1418","2.130396"
,,,"12.85","900.2686","2.132031","12.85","324.9168","2.13201","12.85","344.1334","2.132073","12.85","757.7419","2.132073","12.85","1390.934","2.132031","12.85","1673.126","2.132073","12.85","279.4266","2.132031"
,,,"12.86","900.3639","2.133719","12.86","325.2029","2.133687","12.86","345.2301","2.133719","12.86","759.6493","2.133719","12.86","1389.599","2.133719","12.86","1673.555","2.133739","12.86","281.0955","2.133687"
,,,"12.87","900.3162","2.135385","12.87","326.0612","2.135375","12.87","345.5639","2.135365","12.87","760.7937","2.135365","12.87","1390.696","2.135396","12.87","1675.177","2.135396","12.87","278.0914","2.135375"
,,,"12.88","902.319","2.137031","12.88","325.3937","2.137063","12.88","344.8486","2.137021","12.88","758.4572","2.137021","12.88","1392.841","2.137063","12.88","1677.656","2.137042","12.88","278.0914","2.137063"
,,,"12.89","903.6541","2.138677","12.89","322.7711","2.138729","12.89","343.9426","2.138708","12.89","759.0294","2.138698","12.89","1392.746","2.138708","12.89","1678.467","2.138698","12.89","279.2358","2.138729"
,,,"12.9","904.0833","2.140344","12.9","323.391","2.140375","12.9","343.7042","2.140385","12.9","761.2228","2.140396","12.9","1391.649","2.140365","12.9","1682.043","2.140375","12.9","278.7113","2.140385"
,,,"12.91","903.2726","2.142031","12.91","327.5394","2.142021","12.91","346.2791","2.142052","12.91","764.5607","2.142073","12.91","1395.226","2.142031","12.91","1682.186","2.142062","12.91","280.1895","2.142031"
,,,"12.92","902.5574","2.143729","12.92","326.9196","2.143687","12.92","348.3772","2.143719","12.92","763.4163","2.14375","12.92","1395.893","2.143719","12.92","1684.809","2.143739","12.92","281.0001","2.143698"
,,,"12.93","902.462","2.145396","12.93","326.6812","2.145375","12.93","346.1361","2.145354","12.93","763.2733","2.145396","12.93","1398.134","2.145406","12.93","1685.476","2.145396","12.93","280.2849","2.145375"
,,,"12.94","905.3707","2.147052","12.94","327.2534","2.147052","12.94","344.3718","2.14701","12.94","763.7024","2.147031","12.94","1400.948","2.147083","12.94","1689.243","2.147031","12.94","281.8585","2.147073"
,,,"12.95","907.0873","2.148698","12.95","326.8242","2.148729","12.95","347.2805","2.148708","12.95","764.37","2.148698","12.95","1400.28","2.148729","12.95","1692.915","2.148687","12.95","280.571","2.14875"
,,,"12.96","906.0859","2.150354","12.96","325.6798","2.150375","12.96","350.2369","2.150396","12.96","765.7051","2.150385","12.96","1401.949","2.150375","12.96","1693.583","2.150365","12.96","281.3339","2.150406"
,,,"12.97","904.2263","2.152031","12.97","327.7302","2.152021","12.97","345.993","2.152073","12.97","766.0865","2.152073","12.97","1399.231","2.152031","12.97","1692.057","2.152062","12.97","282.9075","2.152052"
,,,"12.98","908.2318","2.153719","12.98","326.6812","2.153687","12.98","346.0407","2.153729","12.98","765.1329","2.153739","12.98","1402.187","2.153708","12.98","1691.914","2.153739","12.98","282.0015","2.153698"
,,,"12.99","908.947","2.155396","12.99","325.8705","2.155375","12.99","348.4726","2.155375","12.99","768.8522","2.155385","12.99","1405.668","2.155396","12.99","1694.632","2.155417","12.99","281.62","2.155365"
,,,"13","910.6159","2.157052","13","326.0135","2.157073","13","350.523","2.157021","13","770.3304","2.157031","13","1407.337","2.157063","13","1697.731","2.157052","13","282.6214","2.157052"
,,,"13.01","911.0928","2.158698","13.01","327.3487","2.15874","13.01","350.0461","2.158698","13.01","767.8509","2.158698","13.01","1408.243","2.158719","13.01","1699.686","2.158698","13.01","284.9102","2.158729"
,,,"13.02","909.9006","2.160344","13.02","328.0163","2.160396","13.02","348.8541","2.160385","13.02","767.9462","2.160385","13.02","1408.339","2.160365","13.02","1701.069","2.160365","13.02","284.5764","2.160396"
,,,"13.03","910.9974","2.162031","13.03","329.8282","2.162042","13.03","348.9971","2.162062","13.03","768.28","2.162073","13.03","1409.96","2.162021","13.03","1701.689","2.162052","13.03","282.6691","2.162042"
,,,"13.04","910.759","2.163719","13.04","330.6866","2.163687","13.04","349.617","2.163719","13.04","769.7106","2.16375","13.04","1410.151","2.163708","13.04","1702.356","2.163729","13.04","283.8135","2.163687"
,,,"13.05","910.3298","2.165406","13.05","329.4468","2.165365","13.05","349.6647","2.165365","13.05","769.8536","2.165406","13.05","1410.723","2.165396","13.05","1705.17","2.165396","13.05","285.9116","2.165365"
,,,"13.06","912.2849","2.167063","13.06","330.2574","2.167052","13.06","347.4713","2.167021","13.06","769.7106","2.167042","13.06","1412.439","2.167083","13.06","1707.506","2.167052","13.06","284.0996","2.167052"
,,,"13.07","912.5233","2.168708","13.07","329.9236","2.168719","13.07","348.2819","2.168688","13.07","772.4762","2.168698","13.07","1411.915","2.16874","13.07","1705.551","2.168698","13.07","285.2917","2.16874"
,,,"13.08","914.6213","2.170344","13.08","330.5912","2.170385","13.08","351.5244","2.170385","13.08","772.953","2.170365","13.08","1414.919","2.170375","13.08","1707.649","2.170365","13.08","282.9552","2.170417"
,,,"13.09","914.1922","2.172021","13.09","328.2547","2.172021","13.09","354.147","2.172073","13.09","772.3809","2.172052","13.09","1416.254","2.172031","13.09","1714.134","2.172052","13.09","283.0505","2.172062"
,,,"13.1","914.7167","2.173698","13.1","331.3065","2.173677","13.1","353.6224","2.17374","13.1","772.8577","2.173729","13.1","1414.776","2.173698","13.1","1715.469","2.17374","13.1","285.9116","2.173708"
,,,"13.11","913.2385","2.175375","13.11","332.0217","2.175354","13.11","353.8608","2.175385","13.11","773.1438","2.175385","13.11","1413.87","2.175385","13.11","1715.708","2.175417","13.11","285.8639","2.175364"
,,,"13.12","915.9565","2.177042","13.12","329.6375","2.177052","13.12","355.3391","2.177031","13.12","774.6219","2.177031","13.12","1413.822","2.177063","13.12","1717.091","2.177073","13.12","284.6718","2.177042"
,,,"13.13","917.1486","2.178688","13.13","330.4005","2.178729","13.13","358.5815","2.178688","13.13","775.2418","2.178688","13.13","1417.542","2.178719","13.13","1720.047","2.178708","13.13","285.5301","2.178729"
,,,"13.14","916.481","2.180344","13.14","329.3991","2.180396","13.14","356.8649","2.180385","13.14","774.8127","2.180365","13.14","1416.635","2.180375","13.14","1721.525","2.180354","13.14","287.8666","2.180406"
,,,"13.15","919.0082","2.18201","13.15","329.6375","2.182042","13.15","356.3881","2.182062","13.15","774.6219","2.182062","13.15","1417.351","2.182031","13.15","1722.193","2.182031","13.15","288.5818","2.182062"
,,,"13.16","918.2453","2.183698","13.16","332.8323","2.183687","13.16","357.5802","2.183729","13.16","776.3862","2.18374","13.16","1419.02","2.183698","13.16","1725.054","2.183719","13.16","289.3925","2.183698"
,,,"13.17","917.53","2.185396","13.17","330.8296","2.185354","13.17","356.6265","2.185385","13.17","776.0525","2.185406","13.17","1421.118","2.185396","13.17","1728.296","2.185396","13.17","287.962","2.185354"
,,,"13.18","918.0546","2.187063","13.18","330.4005","2.187042","13.18","355.3391","2.187031","13.18","774.9557","2.187052","13.18","1422.358","2.187083","13.18","1729.536","2.187052","13.18","287.7235","2.187031"
,,,"13.19","919.199","2.188719","13.19","331.3065","2.188719","13.19","356.2927","2.188688","13.19","776.9108","2.188698","13.19","1423.979","2.18875","13.19","1729.488","2.188698","13.19","289.6309","2.188729"
