"Carritos",,,"Panal",,,"1_cp",,,"2_ca",,,"3_pa",,,"hexagonal",,,"Panal",,,"lluvia",,
"Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento","Tiempo","Fuerza","Desplazamiento"
"seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm","seg","N","mm"
"0.22","0.333786","0.0270625","0.22","0.2384186","0.0270625","0.22","14.78195","0.02704167","0.22","0.333786","0.02711458","0.22","-0.667572","0.02709375","0.22","0","0.0270625","0.22","0.5722046","0.02709375","0.22","0.04768372","0.02708333"
"0.23","0.3814697","0.02875","0.23","0.2384186","0.02873958","0.23","16.30783","0.02870833","0.23","0.333786","0.02876042","0.23","-0.5722046","0.02876042","0.23","0","0.02873958","0.23","0.5722046","0.02877083","0.23","0.04768372","0.02871875"
"0.24","0.4291534","0.0304375","0.24","0.333786","0.03041667","0.24","20.2179","0.03040625","0.24","0.333786","0.03039583","0.24","-0.5722046","0.03040625","0.24","0","0.03041667","0.24","0.5722046","0.0304375","0.24","0.04768372","0.03038542"
"0.25","0.5722046","0.03210417","0.25","0.333786","0.03208333","0.25","23.46039","0.03209375","0.25","0.3814697","0.03205208","0.25","-0.4768372","0.03205208","0.25","0","0.03208333","0.25","0.667572","0.03207292","0.25","0.04768372","0.03207292"
"0.26","8.440018","0.03375","0.26","0.333786","0.03371875","0.26","24.17564","0.03377083","0.26","0.4768372","0.03371875","0.26","-0.4291534","0.03371875","0.26","0.04768372","0.03373958","0.26","0.667572","0.03371875","0.26","0.1907349","0.03375"
"0.27","21.26694","0.03538541","0.27","0.333786","0.035375","0.27","23.88954","0.03541667","0.27","0.4768372","0.03541667","0.27","-0.333786","0.03540625","0.27","0.1430511","0.03538541","0.27","0.667572","0.03538541","0.27","0.1907349","0.03541667"
"0.28","22.41135","0.03704167","0.28","0.333786","0.03705208","0.28","24.6048","0.03705208","0.28","0.4768372","0.03708333","0.28","-0.333786","0.03710417","0.28","0.1430511","0.03704167","0.28","0.667572","0.03707292","0.28","0.1907349","0.0370625"
"0.29","24.17564","0.03872916","0.29","0.333786","0.03875","0.29","27.41814","0.03870833","0.29","0.5245209","0.03875","0.29","-0.2384186","0.03877083","0.29","0.1430511","0.03872916","0.29","0.667572","0.03875","0.29","0.1907349","0.03870833"
"0.3","23.84186","0.04041667","0.3","0.3814697","0.04042708","0.3","29.80232","0.04038542","0.3","0.5722046","0.04038542","0.3","-0.09536743","0.04042708","0.3","0.1430511","0.04041667","0.3","0.667572","0.04041667","0.3","0.1907349","0.040375"
"0.31","24.93858","0.04208333","0.31","0.4291534","0.04209375","0.31","31.80504","0.04207291","0.31","0.5722046","0.04204167","0.31","2.145767","0.0420625","0.31","0.1430511","0.04209375","0.31","0.8106232","0.04207291","0.31","0.1907349","0.0420625"
